School,Type,Cluster,Area,Enrollment,Capacity,Map,Name
Shadow Rock ES,Elementary,Redan,Horizon,"449","648",Map,
Smoke Rise ES,Elementary,Tucker,Elementary 2,"1053","984",Map,
Snapfinger ES,Elementary,Columbia,Horizon,"415","864",Map,
Southwest DeKalb HS,High,Southwest DeKalb,High,"1241","1922",Map,
Stephenson HS,High,Stephenson,High,"1228","2077",Map,
Stephenson MS,Middle,Stephenson,Middle,"778","1440",Map,
Stone Mill ES,Elementary,Stone Mountain,Horizon,"588","672",Map,
Stone Mountain ES,Elementary,Stone Mountain,Horizon,"414","600",Map,
Stone Mountain HS,High,Stone Mountain,High,"1213","1209",Map,
Stone Mountain MS,Middle,Stone Mountain,Middle,"961","1410",Map,
Stoneview ES,Elementary,Lithonia,Horizon,"757","720",Map,
Tapestry,Charter,Charter,High,"297",,,
The Museum School,Charter,Charter,Elementary 2,"587",,,
Toney ES,Elementary,Columbia,Elementary 3,"199","600",Map,
Towers HS,High,Towers,Horizon,"781","1302",Map,
Tucker HS,High,Tucker,High,"1705","1736",Map,
Tucker MS,Middle,Tucker,Middle,"1159","1170",Map,
Vanderlyn ES,Elementary,Dunwoody,Elementary 1,"473","552",Map,
Wadsworth Magnet,Elementary,Magnet and Theme,Specialty,"254","600",,
Woodridge ES,Elementary,Miller Grove,Horizon,"385","504",Map,
Woodward ES,Elementary,Cross Keys,Elementary 1,"507","696",Map,
Wynbrooke Theme,Elementary,Magnet and Theme,Specialty,"498","840",,
