OBJECTID,NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Match-Name,Type,enroll-per,enrollment_fid,enrollment_School,enrollment_Type,enrollment_Cluster,enrollment_Area,enrollment_Enrollment,enrollment_Capacity,enrollment_Map,future_use
24796.0,130174000649.0,1301740.0,McNair Middle School,13.0,2190 Wallingford Dr,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.719133,-84.29770499999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13083.0,13044.0,2022-2023,McNair Middle School,Middle,,,,,,,,,,e
24797.0,130174000650.0,1301740.0,Evansdale Elementary School,13.0,2914 Evans Woods Dr,Doraville,GA,30340.0,13.0,13089.0,DeKalb County,21.0,33.8736,-84.2403,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13081.0,13040.0,2022-2023,Evansdale Elementary,Elementary,0.953,52.0,Evansdale ES,Elementary,Lakeside,Elementary 2,503.0,528.0,Map,c
24798.0,130174000651.0,1301740.0,Dresden Elementary School,13.0,2449 Dresden Dr,Chamblee,GA,30341.0,13.0,13089.0,DeKalb County,21.0,33.8693,-84.2921,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13082.0,13042.0,2022-2023,Dresden Elementary,Elementary,0.869,38.0,Dresden ES,Elementary,Cross Keys,Horizon,605.0,696.0,Map,n
24799.0,130174000652.0,1301740.0,Columbia Elementary School,13.0,3230 Columbia Woods Dr,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.72,-84.25759999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13084.0,13010.0,2022-2023,Columbia Elementary,Elementary,0.522,26.0,Columbia ES,Elementary,Columbia,Elementary 3,363.0,696.0,Map,c
24800.0,130174000653.0,1301740.0,Chapel Hill Elementary School,13.0,3536 Radcliffe Blvd,Decatur,GA,30034.0,13.0,13089.0,DeKalb County,21.0,33.679,-84.2187,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13084.0,13010.0,2022-2023,Chapel Hill Elementary,Elementary,0.717,22.0,Chapel Hill ES,Elementary,Southwest DeKalb,Elementary 3,499.0,696.0,Map,n
24801.0,130174000654.0,1301740.0,Brockett Elementary School,13.0,1855 Brockett Rd,Tucker,GA,30084.0,13.0,13089.0,DeKalb County,21.0,33.8375,-84.2221,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13087.0,13041.0,2022-2023,Brockett Elementary,Elementary,0.774,12.0,Brockett ES,Elementary,Tucker,Elementary 2,390.0,504.0,Map,c
24803.0,130174000660.0,1301740.0,Woodridge Elementary School,13.0,4120 Cedar Ridge Trl,Stone Mountain,GA,30083.0,13.0,13089.0,DeKalb County,21.0,33.7423,-84.2008,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13087.0,13055.0,2022-2023,Woodridge Elementary,Elementary,0.764,136.0,Woodridge ES,Elementary,Miller Grove,Horizon,385.0,504.0,Map,c
24804.0,130174000662.0,1301740.0,Stone Mill Elementary School,13.0,4900 Sheila Ln,Stone Mountain,GA,30083.0,13.0,13089.0,DeKalb County,21.0,33.8156,-84.18949999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13088.0,13041.0,2022-2023,Stone Mill Elementary,Elementary,0.875,123.0,Stone Mill ES,Elementary,Stone Mountain,Horizon,588.0,672.0,Map,c
24805.0,130174000664.0,1301740.0,Fernbank Elementary School,13.0,157 Heaton Park Dr NE,Atlanta,GA,30307.0,13.0,13089.0,DeKalb County,21.0,33.778387,-84.316293,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13083.0,13042.0,2022-2023,Fernbank Elementary,Elementary,0.9,54.0,Fernbank ES,Elementary,Druid Hills,Elementary 2,886.0,984.0,Map,n
24806.0,130174000665.0,1301740.0,Druid Hills High School,13.0,1798 Haygood Dr NE,Atlanta,GA,30307.0,13.0,13089.0,DeKalb County,21.0,33.7933,-84.3157,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13082.0,13042.0,2022-2023,Druid Hills High School,High,1.054,39.0,Druid Hills HS,High,Druid Hills,High,1471.0,1395.0,Map,n
24807.0,130174000666.0,1301740.0,Columbia High School,13.0,2106 Columbia Dr,Decatur,GA,30032.0,13.0,13089.0,DeKalb County,21.0,33.7281,-84.2509,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13085.0,13010.0,2022-2023,Columbia High School,High,0.576,27.0,Columbia HS,High,Columbia,High,821.0,1426.0,Map,n
24808.0,130174000667.0,1301740.0,Allgood Elementary School,13.0,659 Allgood Rd,Stone Mountain,GA,30083.0,13.0,13089.0,DeKalb County,21.0,33.7794,-84.21219999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13086.0,13041.0,2022-2023,Allgood Elementary,Elementary,0.879,1.0,Allgood ES,Elementary,Clarkston,Elementary 3,612.0,696.0,Map,n
24809.0,130174000668.0,1301740.0,Woodward Elementary School,13.0,3034 Curtis Dr NE,Brookhaven,GA,30319.0,13.0,13089.0,DeKalb County,21.0,33.8413,-84.33719999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1305.0,13080.0,13042.0,2022-2023,Woodward Elementary,Elementary,0.728,137.0,Woodward ES,Elementary,Cross Keys,Elementary 1,507.0,696.0,Map,n
24810.0,130174000669.0,1301740.0,Tucker High School,13.0,5036 Lavista Rd,Tucker,GA,30084.0,13.0,13089.0,DeKalb County,21.0,33.8564,-84.21639999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13088.0,13041.0,2022-2023,Tucker High School,High,0.982,132.0,Tucker HS,High,Tucker,High,1705.0,1736.0,Map,n
24811.0,130174000672.0,1301740.0,Sequoyah Middle School,13.0,3456 Aztec Rd,Atlanta,GA,30340.0,13.0,13089.0,DeKalb County,21.0,33.8914,-84.2714,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13081.0,13040.0,2022-2023,Sequoyah Middle School,Middle,,,,,,,,,,n
24812.0,130174000677.0,1301740.0,Livsey Elementary School,13.0,4137 Livsey Rd,Tucker,GA,30084.0,13.0,13089.0,DeKalb County,21.0,33.8683,-84.2187,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1306.0,13081.0,13040.0,2022-2023,Livsey Elementary,Elementary,1.228,81.0,Livsey ES,Elementary,Tucker,Elementary 2,383.0,312.0,Map,n
24813.0,130174000678.0,1301740.0,Idlewood Elementary School,13.0,1484 Idlewood Rd,Tucker,GA,30084.0,13.0,13089.0,DeKalb County,21.0,33.8273,-84.2226,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13087.0,13041.0,2022-2023,Idlewood Elementary,Elementary,1.152,66.0,Idlewood ES,Elementary,Tucker,Elementary 2,885.0,768.0,Map,n
24814.0,130174000679.0,1301740.0,Southwest DeKalb High School,13.0,2863 Kelley Chapel Rd,Decatur,GA,30034.0,13.0,13089.0,DeKalb County,21.0,33.702,-84.2245,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13090.0,13010.0,2022-2023,Southwest DeKalb High School,High,0.646,120.0,Southwest DeKalb HS,High,Southwest DeKalb,High,1241.0,1922.0,Map,n
24815.0,130174000680.0,1301740.0,Sagamore Hills Elementary School,13.0,1865 Alderbrook Rd NE,Atlanta,GA,30345.0,13.0,13089.0,DeKalb County,21.0,33.8332,-84.30379999999998,12060.0,"Atlanta-Sandy Springs-Alpharetta, GA",1.0,122.0,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",N,N,1304.0,13082.0,13042.0,2022-2023,Sagamore Hills Elementary,Elementary,0.906,113.0,Sagamore Hills ES,Elementary,Lakeside,Elementary 1,413.0,456.0,Map,n
